location_id,city,state,country,address,zip_code,latitude,longitude
159,Montreal,,CA,20 Rue Prince Arthur,,45.51343,-73.5726
160,Montreal,,CA,1019 Avenue du Mont-Royal E,,45.527648,-73.579729
161,Montreal,,CA,1039 Rue Beaubien Est,,45.53756,-73.60205
162,Montreal,,CA,4403 Boulevard Saint-Laurent,,45.5194122950185,-73.5848534494062
163,Montreal,,CA,39 Rue Saint Paul E,,45.50617298481,-73.553588470931
164,Montreal,,CA,173 Avenue Duluth E,,45.51869,-73.57799
165,Montreal,,CA,2049 Rue Saint-Denis,,45.51642,-73.566042
166,Montreal,,CA,1450 Rue Peel,,45.50047,-73.57449
167,Montreal,,CA,1065 Côte du Beaver Hill,,45.5023943,-73.564791
168,Montreal,,CA,3991 Boulevard Saint-Laurent,,45.5167034,-73.5787906
169,Montreal,,CA,343 Rue Saint-Paul E,,45.509204489716616,-73.5518333
170,Montreal,,CA,1468 Rue Peel,,45.500541,-73.574323
171,Montreal,,CA,68 Rue de la Gauchetière O,,45.50734,-73.5603
172,Montreal,,CA,438 McGill,,45.5002799,-73.55837
173,Montreal,,CA,3706 Rue Saint-Denis,,45.51834,-73.57125
174,Montreal,,CA,740 Rue William,,45.49820816147015,-73.5576066104322
175,Montreal,,CA,1234 Mont-royal E,,45.5291117540899,-73.5779781639576
176,Montreal,,CA,1340 Saint-Catherine Street West,,45.4973876,-73.57524787359317
177,Montreal,,CA,1836 Sainte-Catherine Street West,,45.4931297,-73.57967107576893
178,Montreal,,CA,1229 Rue de la Montagne,,45.49779,-73.57424
179,Montreal,,CA,6230 Rue Saint-Hubert,,45.534836,-73.600521
180,Montreal,,CA,1609 Rue Sainte-Catherine Ouest,,45.494956,-73.57826
181,Montreal,,CA,782 Rue Wellington,,45.49668,-73.55524
182,Montreal,,CA,34 Avenue Fairmount Ouest,,45.52331,-73.59472
183,Montreal,,CA,12 Rue Rachel O,,45.5176519,-73.5818049
184,Montreal,,CA,1325 Boulevard René-Lévesque O,,45.496606,-73.572863
185,Montreal,,CA,201 Place d'Youville,,45.50241,-73.555
186,Montreal,,CA,25 Avenue Fairmount O,,45.52351,-73.594997
187,Montreal,,CA,1448 Rue Saint Mathieu,,45.49425,-73.58048
188,Montreal,,CA,2501 Rue Notre-Dame O,,45.4828859,-73.5752899
189,Montreal,,CA,30 Rue Sainte-Catherine O,,45.50930935934862,-73.56292127116336
190,Montreal,,CA,3 Rue Saint-Paul E,,45.505754,-73.553824
191,Montreal,,CA,3001 Rue Notre-Dame O,,45.48127,-73.57831
192,Montreal,,CA,777 Boulevard Robert-Bourassa,,45.49997,-73.56242
193,Montreal,,CA,1205 Avenue Bernard O,,45.52049,-73.60868
194,Montreal,,CA,1067 Rue de Bleury,,45.5043279884477,-73.5628843680024
195,Montreal,,CA,60 Rue Jean-Talon Est,,45.535631,-73.617056
196,Montreal,,CA,1255 Rue Bishop,,45.49622,-73.57531
197,Montreal,,CA,701 Côte de la Place d'Armes,,45.50541,-73.55761
198,Montreal,,CA,1155 Rue Sherbrooke O,,45.501448,-73.57731980427067
199,Montreal,,CA,142 Avenue Fairmount O,,45.522006,-73.595967
200,Montreal,,CA,1487 Rue Sainte-Catherine E,,45.52111,-73.55408
201,New York,,US,1411 2nd Ave,,40.7698275926665,-73.9576330868512
202,New York,,US,23 W 32nd St,,40.74776270790539,-73.9867793576711
203,New York,,US,60 E 65th St,,40.766742,-73.967679
204,New York,,US,174 2nd Ave,,40.730387,-73.986093
205,New York,,US,225 Park Ave S,,40.73725824850519,-73.9882252705524
206,New York,,US,35 W 13th St,,40.736287,-73.995865
207,New York,,US,17 E 31st St,,40.74625007940397,-73.98476227403484
208,New York,,US,53 W 35th St,,40.750148,-73.9863203465939
209,New York,,US,38 MacDougal St,,40.72707,-74.00283
210,New York,,US,46 Bowery St,,40.7156608,-73.9967012
211,New York,,US,1 Central Park W,,40.7691122743293,-73.9814290717583
212,New York,,US,181 Thompson St,,40.72800126711089,-74.00024274442806
213,New York,,US,15 W 27th St,,40.744427,-73.988302
214,New York,,US,205 E Houston St,,40.72221127798768,-73.98747940414935
215,New York,,US,66 S 2nd St,,40.714186,-73.965493
216,New York,,US,409 W 15th St,,40.74207,-74.00565
217,New York,,US,156 Court St,,40.688684,-73.993137
218,New York,,US,43 E 28th St,,40.74364,-73.98456
219,New York,,US,115 Allen St,,40.719584,-73.990486
220,New York,,US,749 9th Ave,,40.763924,-73.988883
221,New York,,US,129 Mulberry St,,40.71832,-73.99794
222,New York,,US,507 E 6th St,,40.7253574,-73.9833014
223,New York,,US,235 Sullivan St,,40.729771,-73.999392
224,New York,,US,348 Wythe Ave,,40.714181240175115,-73.96532809508915
225,New York,,US,9 Stanton St,,40.7225353,-73.992492
226,New York,,US,128 First Ave,,40.727343847368914,-73.98528661101456
227,New York,,US,34 W 35th St,,40.74964,-73.98582
228,New York,,US,701 9th Ave,,40.76247,-73.9901
229,New York,,US,38 W 39th St,,40.752167,-73.98422161374535
230,New York,,US,593 Lorimer St,,40.71462413989243,-73.9497399
231,New York,,US,119 Saint Marks Pl,,40.727066,-73.983505
232,New York,,US,79-81 Macdougal St,,40.7288561,-74.00177181257429
233,New York,,US,181 Bleecker St,,40.72908,-74.00078
234,New York,,US,129 MacDougal St,,40.73069,-74.00015
235,New York,,US,413 8th Ave,,40.7502059936523,-73.9953231811523
236,New York,,US,W 53rd Street And 6th Ave,,40.761861,-73.979306
237,New York,,US,319 5th Ave,,40.747118,-73.985056
238,New York,,US,88 University Pl,,40.73369,-73.99316
239,New York,,US,90 Chambers St,,40.714477664263505,-74.0074549
240,New York,,US,4 W 22nd St,,40.741019,-73.990692
241,New York,,US,171 Spring St,,40.7249227818105,-74.00215536627918
242,New York,,US,4 Charles St,,40.73513,-74.00065
243,New York,,US,133 Wythe Ave,,40.719747,-73.959993
244,New York,,US,40 Kenmare St,,40.7206118,-73.99520866651855
245,New York,,US,82 Reade St,,40.715498,-74.007178
246,New York,,US,103 Bowery,,40.7175581,-73.99498
247,New York,,US,241 S 4th St,,40.7104,-73.95854
248,New York,,US,75 9th Ave,,40.7427413905213,-74.0060118057704
249,New York,,US,One Vanderbilt Ave,,40.75284533722524,-73.97848111104443
250,New York,,US,364 W 46th St,,40.76064,-73.99023
251,New York,,US,22 East 49th St,,40.7573689002,-73.9764462233
252,New York,,US,32 Spring St,,40.7215934960083,-73.9955956044561
253,New York,,US,45 W 27th St,,40.74514,-73.9900399
254,New York,,US,214 E 49th St,,40.75481,-73.97059
255,New York,,US,343 W 14th St,,40.7408,-74.00429
256,New York,,US,125 W 44th St,,40.75673,-73.9843
258,New York,,US,10 Columbus Cir,,40.768494,-73.983072
259,New York,,US,21 W 8th St,,40.73293764919451,-73.99758608256435
260,New York,,US,391 2nd Ave,,40.73767,-73.98128
261,New York,,US,96 Bowery,,40.7176299520983,-73.9954301342368
262,New York,,US,9 E 1st St,,40.72457207599233,-73.99183956085875
263,New York,,US,21 Ann St,,40.71087,-74.00753
264,New York,,US,133 5th Ave,,40.67857,-73.97885
265,New York,,US,120 Rivington St,,40.719856452169005,-73.98723927387086
266,New York,,US,304 W 4th St,,40.737054,-74.00384677146978
267,New York,,US,23 E 40th St,,40.75145573088978,-73.97965075275545
268,New York,,US,21 Mott St,,40.71441,-73.99902
269,New York,,US,179 E Houston St,,40.722589,-73.9882828294139
270,New York,,US,114 Macdougal St,,40.72969,-74.000629
271,New York,,US,88 Wall St,,40.705286,-74.007803
272,New York,,US,1285 6th Ave,,40.761091681735635,-73.9801313166685
273,New York,,US,432 Union Ave,,40.71338,-73.95136
274,New York,,US,31-05 34th St,,40.762936342378225,-73.92116617379394
275,New York,,US,190 Avenue B,,40.727996,-73.979324
276,New York,,US,231 Prospect Park W,,40.6598242,-73.980508
277,New York,,US,159 Canal St,,40.716613,-73.996619
278,New York,,US,251 W 26th St,,40.747241,-73.996441
279,New York,,US,604 10th Ave,,40.760506289326,-73.994564488901
280,New York,,US,144 2nd Ave,,40.729025634333766,-73.98712
281,New York,,US,309 E 5th St,,40.726746,-73.988325
282,New York,,US,370 W 51st St,,40.76388,-73.98821
283,New York,,US,1000 Fifth Ave,,40.779449,-73.963245
284,New York,,US,46-18 Vernon Blvd,,40.7463115904971,-73.95305585828432
285,New York,,US,321 Starr St,,40.70788411187043,-73.92058168413449
286,New York,,US,43-11 28th Ave,,40.76433,-73.91072
287,New York,,US,2337 1st Ave,,40.79849,-73.93382
288,New York,,US,160 8th Ave,,40.742041,-74.000467
289,New York,,US,186 Ave B,,40.727859,-73.97934
290,New York,,US,379 Grand St,,40.716337,-73.988577
291,New York,,US,1486 2nd Ave,,40.77219299003591,-73.95561517222123
292,New York,,US,93 Bowery St,,40.7170795322745,-73.9952574670315
293,New York,,US,375 S End Ave,,40.7112473,-74.0176642
294,New York,,US,64 Bayard St,,40.7155758,-73.9979585
295,New York,,US,57 Front St,,40.70275,-73.99127
296,New York,,US,79 Orchard St,,40.7177673,-73.990589
297,New York,,US,157 Bleecker St,,40.7287,-73.99971
298,New York,,US,111 Avenue A,,40.7262,-73.9836
299,New York,,US,420 Hudson St,,40.7303076612002,-74.0068030357639
300,New York,,US,214 E 52nd St,,40.75667,-73.969168
301,New York,,US,122 Ludlow St,,40.7196298,-73.988366
302,New York,,US,615 Manhattan Ave,,40.7233949,-73.950856
303,New York,,US,177 Henry St,,40.7136187,-73.9888503
304,New York,,US,155 5th Ave,,40.67791,-73.97929
305,New York,,US,206 Sullivan St,,40.729091,-74.000327
306,New York,,US,30 Water St,,40.7032766048948,-74.01101979176725
307,New York,,US,54 Stone St,,40.70429102137911,-74.01006057997135
308,New York,,US,6 Platt St,,40.707324,-74.006407
309,New York,,US,234 E 4th St,,40.723315,-73.983139
310,New York,,US,126 W 18th St,,40.74023348892918,-73.9962661
311,New York,,US,26 S William St,,40.7046213003984,-74.0107793876969
312,New York,,US,15 Gold St,,40.7078815,-74.00712879999999
313,New York,,US,28 Pell St,,40.71495,-73.99841
314,New York,,US,266 Malcolm X Blvd,,40.68391,-73.929419
315,New York,,US,356 W 44th St,,40.7593269348145,-73.9913101196289
316,New York,,US,141 Broadway,,40.710484,-73.963408
317,New York,,US,788 Franklin Ave,,40.6717311853659,-73.957878
318,New York,,US,122 1st Ave,,40.72714681219886,-73.98541890324336
319,New York,,US,820 Washington St,,40.7396039,-74.00847657515718
320,New York,,US,510 Madison Ave,,40.75972,-73.97472
321,New York,,US,138 5th Ave,,40.6786672454389,-73.9791200818081
322,New York,,US,805 3rd Ave,,40.75551830794478,-73.97041881177492
323,New York,,US,675 9th Ave,,40.76138,-73.99071
324,New York,,US,570 Hudson St,,40.735702,-74.005761
325,New York,,US,702 Grand St,,40.7113172,-73.9446243
326,New York,,US,30 West 46th St,,40.756473,-73.980563
